epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,406.107,0.65923,9.79173,0,0.47022,1.18797,0.99875,1,0.995,0.89469,1,0.8445,0.91931,0.3577,4.31811,5.47705,0,1.57114,6.94952,0.0018812,0.0018812,0.0018812
32,420.77,0.65267,10.1311,0,0.4502,1.17253,0.99896,1,0.995,0.93716,0.75356,0.62857,0.65051,0.20003,4.26705,5.71003,0,1.31108,6.58192,0.00187724,0.00187724,0.00187724
33,431.963,0.67878,10.2076,0,0.45794,1.18521,0.99755,1,0.995,0.85111,0.10214,0.08571,0.06886,0.00826,4.46311,7.21034,0,1.88227,7.89348,0.00187328,0.00187328,0.00187328
34,443.489,0.73601,9.96346,0,0.4477,1.21097,0.99742,1,0.995,0.88976,0.69989,0.7,0.67856,0.22223,4.27957,6.00921,0,1.69281,7.78966,0.00186932,0.00186932,0.00186932
35,455.492,0.71146,9.43849,0,0.47076,1.21183,0.99907,1,0.995,0.87645,0.90872,0.85331,0.90361,0.38796,4.38172,5.41823,0,1.73118,7.89787,0.00186536,0.00186536,0.00186536
36,469.547,0.61004,9.33961,0,0.45765,1.14835,0.99785,1,0.995,0.85779,0.64224,0.64286,0.59171,0.13138,4.31027,6.48661,0,1.37677,7.92423,0.0018614,0.0018614,0.0018614
37,481.543,0.65033,10.2099,0,0.44302,1.17062,0.99856,1,0.995,0.92122,0.92724,0.92857,0.93501,0.36665,4.24915,5.4457,0,1.60631,8.31319,0.00185744,0.00185744,0.00185744
38,496.214,0.62093,9.52712,0,0.43727,1.16062,0.99914,1,0.995,0.81054,0.92778,0.92857,0.93971,0.38963,4.44281,4.88072,0,1.69179,7.59724,0.00185348,0.00185348,0.00185348
39,507.615,0.63573,10.0362,0,0.42886,1.15062,0.99899,1,0.995,0.86486,0.92761,0.92857,0.94216,0.41508,4.27667,5.19141,0,2.00474,7.46092,0.00184952,0.00184952,0.00184952
40,519.561,0.64696,9.92178,0,0.43984,1.16409,0.99978,1,0.995,0.9284,0.88515,0.77072,0.83829,0.29031,4.19887,5.52788,0,1.40052,6.87956,0.00184556,0.00184556,0.00184556
41,531.114,0.63614,9.92976,0,0.44392,1.1692,0.99909,1,0.995,0.87577,0.63219,0.52857,0.49301,0.1057,4.21517,5.63815,0,1.81895,8.11462,0.0018416,0.0018416,0.0018416
42,542.933,0.65242,9.81478,0,0.46743,1.15954,0.99588,1,0.995,0.88216,0.6981,0.72857,0.66845,0.12298,4.33166,5.37039,0,2.01965,7.25606,0.00183764,0.00183764,0.00183764
43,554.586,0.70299,9.75937,0,0.45722,1.20203,0.99913,1,0.995,0.95816,0.19992,0.2,0.14115,0.0202,4.23875,5.40806,0,1.60535,7.06313,0.00183368,0.00183368,0.00183368
44,567.32,0.61764,9.86913,0,0.41422,1.15459,0.99888,1,0.995,0.92942,0.77056,0.77143,0.78012,0.18483,4.23141,4.99077,0,1.35007,6.82302,0.00182972,0.00182972,0.00182972
45,579.249,0.56054,9.44482,0,0.41048,1.11818,0.99914,1,0.995,0.97137,0.50968,0.45714,0.46675,0.11655,4.18335,5.27357,0,1.5931,7.01918,0.00182576,0.00182576,0.00182576
